Região,Ano,Faixa_Etaria,Obitos
Nordeste,2007,5 a 9 anos,84
Nordeste,2008,5 a 9 anos,59
Nordeste,2009,5 a 9 anos,75
Nordeste,2010,5 a 9 anos,73
Nordeste,2011,5 a 9 anos,67
Nordeste,2012,5 a 9 anos,73
Nordeste,2013,5 a 9 anos,54
Nordeste,2014,5 a 9 anos,63
Nordeste,2015,5 a 9 anos,61
Nordeste,2016,5 a 9 anos,74
Nordeste,2017,5 a 9 anos,65
Nordeste,2018,5 a 9 anos,65
Nordeste,2019,5 a 9 anos,62
Nordeste,2020,5 a 9 anos,60
Nordeste,2021,5 a 9 anos,54
Nordeste,2022,5 a 9 anos,47
Sudeste,1996,5 a 9 anos,91
Sudeste,1997,5 a 9 anos,93
Sudeste,1998,5 a 9 anos,107
Sudeste,1999,5 a 9 anos,90
Sudeste,2000,5 a 9 anos,78
Sudeste,2001,5 a 9 anos,102
Sudeste,2002,5 a 9 anos,94
Sudeste,2003,5 a 9 anos,93
Sudeste,2004,5 a 9 anos,98
Sudeste,2005,5 a 9 anos,76
Sudeste,2006,5 a 9 anos,98
Sudeste,2007,5 a 9 anos,86
Sudeste,2008,5 a 9 anos,99
Sudeste,2009,5 a 9 anos,102
Sudeste,2010,5 a 9 anos,70
Sudeste,2011,5 a 9 anos,73
Sudeste,2012,5 a 9 anos,78
Sudeste,2013,5 a 9 anos,86
Sudeste,2014,5 a 9 anos,65
Sudeste,2015,5 a 9 anos,58
Sudeste,2016,5 a 9 anos,77
Sudeste,2017,5 a 9 anos,53
Sudeste,2018,5 a 9 anos,62
Sudeste,2019,5 a 9 anos,55
Sudeste,2020,5 a 9 anos,56
Sudeste,2021,5 a 9 anos,53
Sudeste,2022,5 a 9 anos,62
Nordeste,1979,10 a 14 anos,91
Nordeste,1980,10 a 14 anos,108
Nordeste,1981,10 a 14 anos,102
Nordeste,1982,10 a 14 anos,102
Nordeste,1983,10 a 14 anos,102
Nordeste,1984,10 a 14 anos,119
Nordeste,1985,10 a 14 anos,95
Nordeste,1986,10 a 14 anos,101
Nordeste,1987,10 a 14 anos,111
Nordeste,1988,10 a 14 anos,95
Nordeste,1989,10 a 14 anos,96
Nordeste,1990,10 a 14 anos,115
Nordeste,1991,10 a 14 anos,124
Nordeste,1992,10 a 14 anos,96
Nordeste,1993,10 a 14 anos,102
Nordeste,1994,10 a 14 anos,109
Nordeste,1995,10 a 14 anos,91
Sudeste,1979,10 a 14 anos,32
Sudeste,1980,10 a 14 anos,36
Sudeste,1981,10 a 14 anos,27
Sudeste,1982,10 a 14 anos,45
Sudeste,1983,10 a 14 anos,52
Sudeste,1984,10 a 14 anos,46
Sudeste,1985,10 a 14 anos,32
Sudeste,1986,10 a 14 anos,47
Sudeste,1987,10 a 14 anos,39
Sudeste,1988,10 a 14 anos,37
Sudeste,1989,10 a 14 anos,40
Sudeste,1990,10 a 14 anos,37
Sudeste,1991,10 a 14 anos,42
Sudeste,1992,10 a 14 anos,49
